order_id,order_date,customer_id,segment,region,state,category,sub_category,sales,quantity,discount,profit,profit_margin,calculated_cost_basis
CA-2025-100000,4/12/2024,CS-1029,Consumer,East,Odisha,Furniture,Chairs,3043.36,9,0,311.42,10.23276904,2731.94
CA-2025-100001,3/11/2025,CS-1127,Corporate,South,Telangana,Office Supplies,Art,3220.74,7,0,673.49,20.91103287,2547.25
CA-2025-100002,9/27/2024,CS-1338,Corporate,West,Gujarat,Technology,Phones,744.51,2,0,169.28,22.73710226,575.23
CA-2025-100003,4/16/2024,CS-1010,Consumer,West,Gujarat,Office Supplies,Binders,127.17,5,0,10.37,8.15443894,116.8
CA-2025-100004,3/12/2024,CS-1106,Consumer,East,West Bengal,Office Supplies,Fasteners,479.34,2,0,43.06,8.983185213,436.28
CA-2025-100005,12/1/2025,CS-1167,Consumer,East,Jharkhand,Office Supplies,Fasteners,2387.43,7,0,301.94,12.64707237,2085.49
CA-2025-100006,1/21/2024,CS-1466,Consumer,West,Goa,Office Supplies,Paper,1479.72,9,0,223.16,15.08123158,1256.56
CA-2025-100007,9/6/2025,CS-1257,Consumer,East,Bihar,Technology,Copiers,763.04,4,0,119.76,15.69511428,643.28
CA-2025-100008,5/1/2024,CS-1295,Consumer,South,Kerala,Office Supplies,Fasteners,968.09,3,0.2,123.08,12.71369397,845.01
CA-2025-100009,4/11/2025,CS-1277,Corporate,North,Punjab,Office Supplies,Fasteners,198.28,6,0,33.16,16.72382489,165.12
CA-2025-100010,8/2/2024,CS-1065,Corporate,East,Jharkhand,Office Supplies,Art,1097.75,8,0.5,216.49,19.72124801,881.26
CA-2025-100011,11/26/2024,CS-1271,Consumer,West,Rajasthan,Technology,Accessories,1616.81,8,0.5,307.23,19.00223279,1309.58
CA-2025-100012,4/3/2025,CS-1388,Consumer,North,UP,Office Supplies,Fasteners,3205.86,8,0,179.66,5.604112469,3026.2
CA-2025-100013,3/28/2024,CS-1188,Corporate,South,Kerala,Furniture,Tables,345.41,5,0,-96.02,-27.79884775,441.43
CA-2025-100014,1/7/2025,CS-1317,Home Office,North,Delhi,Furniture,Chairs,2543.9,6,0,489.77,19.2527222,2054.13
CA-2025-100015,4/9/2024,CS-1404,Corporate,West,Maharashtra,Technology,Phones,95.73,2,0,8.63,9.014937846,87.1
CA-2025-100016,10/25/2025,CS-1138,Corporate,North,Punjab,Technology,Accessories,2499.08,6,0.1,426.65,17.0722826,2072.43
CA-2025-100017,5/10/2024,CS-1343,Consumer,West,Goa,Furniture,Furnishings,289.97,5,0.5,20.93,7.217988068,269.04
CA-2025-100018,10/23/2025,CS-1105,Consumer,East,Odisha,Technology,Phones,199.4,3,0,36.49,18.2998997,162.91
CA-2025-100019,11/4/2024,CS-1034,Home Office,East,Jharkhand,Office Supplies,Binders,332.91,8,0.1,57.95,17.40710703,274.96
CA-2025-100020,2/8/2026,CS-1380,Consumer,West,Gujarat,Office Supplies,Binders,356.54,4,0.5,35.01,9.819375105,321.53
CA-2025-100021,12/9/2024,CS-1110,Home Office,East,Odisha,Furniture,Furnishings,361.6,2,0,81.38,22.50553097,280.22
CA-2025-100022,5/6/2025,CS-1432,Corporate,South,Kerala,Technology,Accessories,723.1,3,0.1,152.8,21.13124049,570.3
CA-2025-100023,2/17/2025,CS-1033,Corporate,North,Delhi,Furniture,Chairs,738.29,2,0,146.03,19.77949044,592.26
CA-2025-100024,1/20/2025,CS-1354,Consumer,West,Rajasthan,Technology,Phones,519.56,2,0,73.73,14.1908538,445.83
CA-2025-100025,7/10/2024,CS-1231,Corporate,West,Gujarat,Furniture,Tables,1322.15,3,0.1,126.1,9.537495746,1196.05
CA-2025-100026,10/3/2024,CS-1317,Consumer,West,Rajasthan,Technology,Accessories,791.4,7,0,163.37,20.64316401,628.03
CA-2025-100027,6/9/2024,CS-1266,Consumer,South,Kerala,Furniture,Furnishings,113.17,1,0,10.51,9.286913493,102.66
CA-2025-100028,4/4/2025,CS-1182,Consumer,South,Tamil Nadu,Furniture,Furnishings,2132.51,6,0,314.3,14.73850064,1818.21
CA-2025-100029,11/9/2024,CS-1340,Home Office,South,Kerala,Furniture,Tables,163.95,1,0,-35.02,-21.36017078,198.97
CA-2025-100030,1/22/2024,CS-1065,Corporate,West,Gujarat,Furniture,Chairs,282.26,3,0,25.52,9.041309431,256.74
CA-2025-100031,9/9/2024,CS-1333,Consumer,South,Karnataka,Office Supplies,Art,1593.19,4,0,275.51,17.29297824,1317.68
CA-2025-100032,1/17/2026,CS-1001,Consumer,East,Odisha,Furniture,Tables,966.79,8,0,238.23,24.64133886,728.56
CA-2025-100033,7/14/2025,CS-1133,Corporate,North,Punjab,Technology,Copiers,753.94,2,0,109.51,14.52502852,644.43
CA-2025-100034,4/19/2025,CS-1080,Corporate,East,Odisha,Office Supplies,Art,389.47,7,0.5,58.38,14.98960125,331.09
CA-2025-100035,2/28/2024,CS-1271,Corporate,East,Jharkhand,Office Supplies,Art,1269.85,3,0.1,158.16,12.45501437,1111.69
CA-2025-100036,5/25/2025,CS-1241,Corporate,South,Karnataka,Furniture,Furnishings,77.3,1,0.5,7.39,9.560155239,69.91
